cleaned,Sentiment
আমার জীবনের সবচেয়ে বাজে অভিজ্ঞতা  দারাজ থেকে আমি কখনো এমন সার্ভিস আশা করিনি সময়ের চাইতে প্রায়  দিন সময় বেশি নিয়েছে তারা  সার্ভিস সেন্টারে কল দিও কোন ভালো ফলাফল পাইনি  সবচেয়ে বাজে অভিজ্ঞতা সেলার এর সাথে  বারের অধিক মেসেজ দিয়েও একটা রিপ্লাই ও পেলাম না ,0
                এর দাম নিয়েছেন  কিন্তু                  দিলেন  কাজটা কি ঠিক হলো         করতে চাই ,0
সেলার খুব ভালো  কিন্তু ফোনটা খুবই বাজে মানের  নেটে কথা বলা খুবই সমস্যা  ওয়াইফাইতে বা ডাটায় অন্য ফোনে ভিডিও কলে সব ঠিক থাকলেও এটা ভিডিও ও কথা ব্রেক হয়  আর চার্জ হইতে প্রায় ঘন্টা লাগে ,2
ফোনের কোয়ালিটি তুলনায় দাম অনেক বেশি,0
সেলার ডেলিভারি সময় খুবই খারাপ ,0
দাম অনুযায়ী ঠিক আসে            ডেলিভারী টাইম বেশি নিয়েছে     ডেলিভারী ম্যান টা ভালো ছিল     হেল্পফুল অনেক ছিলেন   সময় মতন ডেলিভারী করার জন্যে দারাজ এর আরো বেশি কনসার্ন থাকা উচিত   মার্কেট এর তুলনায়   টাকা কমে পেয়েছি প্রোডাক্ট টা   থ্যাংক ইউ,0
ভালোই  অনেক স্মুথ  এখন দেখা যাক কতদিন চলে ,0
ভালোই,0
সব কিছু সুন্দর  ফোন ঠিকঠাক ছিলো  কিন্তু দারাজ হলো একটা ভোগান্তির নাম  যদিও ডেলিভারি ম্যান অনেক ভদ্র মানুষ  কিন্তু দারাজ নির্ধারিত সময়ের  দিন পরে ডেলিভারি দিয়েছে  যারা সময়ের গুরুত্ব বুঝে না তাদের কাছে  দিন বিষয় না  কিন্তু আমার কাছে খুব খারাপ লেগেছে লেট করে ডেলিভারি দেওয়ায়  দারাজ ঢাকার ভিতর  দিনে ডেলিভারি দেওয়া উচিত  তাদের অফিস বনানী তে  আমারও বাসা বনানীতে  তবুও দারাজ  দিন সময় নিয়ে ডেলিভারি দিতে আরও দিন লেট করে   কত ফালতু সিস্টেম তারা করে রাখছে  দেশের অন্য জেলা হলে মানা যায় ,2
প্রথম বার দারাজ থেকে মোবাইল কিনলাম  আমি সন্তুষ্ট  প্যাকেজিং ভালো ছিল ও ইন্টেক ফোন ছিল  দাম অনুযায়ী যথেষ্ট ভালো ফোন  বাস্ট না হলেই হয়        ফোন একটা বাস্ট হইছে  তারপর এটা নিলাম  দেখি কি হয় ,0
আলহামদুলিল্লাহ   যদিও প্রথমবারের মত দারাজ থেকে মোবাইল কিনলাম মনে একটু ভয় কাজ করছিল তারপরেও আল্লাহর নাম নিয়ে নিয়ে ফেললাম   এই দামে ফ্রি ডেলিভারি পেয়ে পয়সা উসুল,1
চমৎকার একটি প্রোডাক্ট  এই প্রাইজে বেস্ট ইন দ্যা ওয়ার্ল্ড ,1
ধন্যবাদ দারাজকে সব ঠিক ছিলো  ,1
সন্তুষ্ট  গরিবদের এর চেয়ে বেশি আশা করতে নেই   বছর চালাতে পারলেও হবে  চার্জ আরেকটু দ্রুত হলে ভালো হতো ,1
              খুব ভালো একটা মোবাইল ফোন রিজনেবল প্রাইস   ,1
অফারে  পড়েছে যা খুব ভাল ডিল  এই প্রাইজ এ বেস্ট প্রোডাক্ট  কিন্তু শোরুম এর লোকরা বললো দারাজের প্রোডাক্ট এ নাকি ওয়ারেন্টি তে প্রব্লেম করে  বিস্তারিত জানালে খুশি হব ,1
সব কিছু ঠিক আছে  তবে হেডফোন নাই  এখনকার ফোনো কি হেডফোন দেওয়া হয় না    কেউ জানলে জানান   ,1
এই বাজেটে বেস্ট মোবাইল  সবাই নিতে পারেন,1
আমাকে কালো কালার টা দিয়েছে ভেবেছি সাদা কালার টা পাবো  তবে হে ডেলিভারি ম্যান  সেলার অনেক ভালো,2
ফোনটা ভালো পাইছি এবং দাম অনুযায়ী ফোনের অনেক ভালো কোয়ালিটি,1
অল্প দামের ভেতর ভাল ফোন,1
পাইতে দেরি হইছে,0
অসাধারণ ধন্যবাদ দারাজ কে,1
দারুণ একটা ফোন বস   ,1
মোটামোটি ভালই,1
  অক্টোবর  থেকে নভেম্বর  তারিখ পর্যন্ত  দিন যাবত ফোনটি ব্যবহার করে ভালোই পারফমেন্স পাচ্ছি  তবে অত্যন্ত দুঃখের বিষয়  ডিজিটের আই এম ই আই নম্বর লিখে এসএমএস করলে  বিআইটিসির অন্তর্ভুক্ত ফোনটি এমন কোন সন্ধান পাওয়া যায়নি  আবার      থেকে এমন এসএমএস আসছে  বিটিআরসি র ডাটাবেজে হ্যান্ডসেটটি নিবন্ধিত নয়  হ্যান্ডসেটটি স্বয়ংক্রিয়ভাবে নিবন্ধন করা হবে ,2
                       দেখে ফোন টা ক্রয় করেছিলাম  কিন্তু প্রথমত ফোন আনবক্স করার পর ব্যাগ সাইডে হাতের দাগ এমন মনে হলো যে আগে কেউ ব্যবহার করেছে  এর পর অফিসিয়াল কিনা চেক করতে গিয়ে টাসকি খাই   বার মেসেজ দিছি  বার এই সার্ভারে পাওয়া যায়নি এমন লেখা আসতেছে  আনঅফিসিয়াল ফোন বিক্রি করছে  আমি দারাজ ও         কোম্পানির বিরুদ্ধে ভোক্তা অধিকার আইনে মামলা করব ,0
মোবাইল কিনতে যে  দ্বারাজের উপর বিশ্বাস উঠে গেছে   ,0
সস্তার  অবস্থা বইলা একটা কথা আছে  এইজন্যই অনলাইন এ কিছু না কিনাই ভালো  রিজেক্ট মোবাইল দিছেন,0
 তারিখে অর্ডার দিয়ে একুশ তারিখে পেলাম   এর চাইতে স্লো ডেলিভারি আর কত হতে পারে   তাও আবার ই দেশ কুরিয়ার এর হেড অফিসে কমপ্লেন করে ডেলিভারি ম্যান কে ফোন টোন করে দীর্ঘ প্রতিক্ষার পরে পেলাম  যাইহোক ধন্যবাদ অথেনটিক প্রোডাক্ট দেয়ার জন্য  এখন কেমন সার্ভিস দেয় সেটায় দেখার বিষয় ,2
ফোনটা রাইখা দিয়ে বন্ধ হয়ে যায়  আর হ্যাং করে ,0
ফোনটা জেনুইন  কিন্তু  জিবি র ্যামেও বেশ স্লো রেস্পন্স  আমি কোন ভারী এপ বা গ্যাম এপ ব্যাবহার করি না  তারপরেও বেশ স্লো  তবে ফোনটার সব ফিচার এবং লুক অসাধারণ  নিতে পারেন ,2
শো রুম থেকে প্রায়  টাকা কমে পেয়েছি তবে চার্জার এর তার টা ছোট ইনফিনিক্সের অন্য ফোনের তুলনায় আশা করি অফলাইনে যা দেয় দারাজ থেকে বিক্রি করলেও সেমটাই দেয় দিন পরের এডিট          এর সাথে কম্পেরিজন করেই কিনেছিলাম এখন ওটাই ভালো মনে হচ্ছে যার জন্য কেনা সে পছন্দ করেনি অল্প কাজেই হ্যাং যেমন মেসেঞ্জার চ্যাট হেড িউজ করা যায় না,2
সময়মতো পন্য হাতে পেয়েছি  খুব দ্রুত সার্ভিস  ধন্যবাদ ,1
ফোনটা বাজেটের মধ্যে অনেক ভালো  আমার কাছে মনে হয়েছে  আসলে দারাজ থেকে কেনাকাটা করা নেশার মতো হয়েগেছে  এখন আর মার্কেটে যেতে ইচ্ছে করে না  যাই কেনাকাটা করি দারাজ থেকেই কিনার চেষ্টা করি  সেলার ও দারাজের জন্য শুভকামনা রইলো  ,1
ভুলে কেউ অনলাইন থেকে মোবাইল কিনবেন না ইয়ার স্পিকারের প্রবলেম চার্জ থাকে না বেশি হয়রানির আরেক নাম হচ্ছে অনলাইন থেকে মোবাইল কিনা ডেলিভারি দিয়েছে সে সময় মতোই ধন্যবাদ মোবাইল অন করে ফেললে তারা আর মোবাইল ব্যাক করে নিতে চায় না,1
আলহামদুলিল্লা ইনটেক প্রোডাক্ট হাতে পেয়েছি  প্যাকেজিং ও যথেষ্ট ভালো ছিলো  ধন্যবাদ,1
খুব ভাল  বিশেষ করে সামনে থাকা অতিরিক্ত ফ্লাসলাইট খুবই কাজের  সাধারণত এরকম অন্যান্য মোবাইলে দেখা যায় না  এর আগে        ফোন চালাতাম এখন এটা চালাচ্ছি  খুব বেশি এবং ক্যামেরা এক্সপেকটেশন থেকেও ভালো,1
           পিচ নীলাম,1
খুবই ভালো প্রোডাক্টি  প্রথমে ভয়ে ছিলাম কিন্তু প্রোডাক্টি পাওয়ার ও ব্যাহারেরর পর থেকে আলহামদুলিল্লাহ  খুবই খুশি  ধন্যবাদ সেলার ভাইকে  সময়ের সাথে সাথে ডেলিভারি দেয়ার জন্য  ধন্যবাদ দারাজ ,1
               ফোনটি এক কথায় অসাধারণ   সব মিলিয়ে আমার প্রায়  হাজার  টাকা লেগেছিল ফোনটি কিনতে আজ প্রায়  দিন পর রিভিউ দিলাম ,1
ইনটেক বক্সসহ ঠিক সময়মত ডেলিভারি পেয়েছি  সেলার  দারাজ  এবং ডেলিভারিম্যান সকলকে আন্তরিক ধন্যবাদ    ,1
প্যাকেজিং খুব ভালো  জেনুইন প্রোডাক্ট  ধন্যবাদ সেলারকে  শুভ কামনা রইল ,1
আলহামদুলিল্লাহ খুব ভাল  দোকানের প্রাইস থেকে অনেক কমে পেয়েছি ,1
মোবাইলটা ভালো ব্যবহার করে মজা আছে ,1
অনেক ভালো,1
আমি দারাজ থেকে এই মোবাইলটি ক্রয় করি  মোবাইলটির সমস্যার কারণে রিফান্ড রিকোয়েস্ট পাঠায়  শে সেপ্টেম্বর এরপর  অক্টোবরে আমার কাছে অফিস থেকে ফোন দিয়ে বলে আপনার মোবাইলটি যে সমস্যা আছে কাস্টম কেয়ারে গেলে সার্ভিসিং পেয়ে যাবেন অতএব আপনার মোবাইলটি আপনার কাছে রিটার্ন পাঠানো হচ্ছে শে অক্টোবরে অফিস থেকে আমাকে জানানো হয় এবং আমাকে বলে আপনার মোবাইলটি পেতে ছয় থেকে সাত দিন সময় লাগবে কিন্তু এখনো পর্যন্ত আমার মোবাইলটি আমার হাতে পাই নাই আজকে  অক্টোবর চলে গেল আপনারা কি কাস্টমারকে নিয়ে ছিনিমিনি খেলেন,0
