cleaned_stopwords,Sentiment
জীবনের সবচেয়ে বাজে অভিজ্ঞতা। দারাজ কখনো সার্ভিস আশা করিনি।সময়ের চাইতে সময় নিয়েছে তারা। সার্ভিস সেন্টারে কল দিও ভালো ফলাফল পাইনি। সবচেয়ে বাজে অভিজ্ঞতা সেলার সাথে বারের অধিক মেসেজ দিয়েও একটা রিপ্লাই পেলাম না।,0
official mobile দাম নিয়েছেন। unofficial phone দিলেন। কাজটা Return চাই।,0
সেলার ভালো ফোনটা খুবই বাজে মানের। নেটে কথা খুবই সমস্যা। ওয়াইফাইতেবা ডাটায় ফোনে ভিডিও কলে থাকলেও ভিডিও কথা ব্রেক হয়। চার্জ ঘন্টা লাগে।,2
ফোনের কোয়ালিটি তুলনায় দাম,0
সেলারডেলিভারি সময় খুবই খারাপ,0
দাম আসে daraz ডেলিভারী টাইম নিয়েছে ডেলিভারী ম্যান টা ভালো হেল্পফুল । সময় মতন ডেলিভারী জন্যে দারাজ আরো কনসার্ন । মার্কেট তুলনায় টাকা কমে পেয়েছি প্রোডাক্ট টা । থ্যাংক ইউ,0
ভালোই। স্মুথ। যাক কতদিন চলে।,0
ভালোই,0
সুন্দর। ফোন ঠিকঠাক ছিলো। দারাজ একটা ভোগান্তির নাম। ডেলিভারি ম্যান ভদ্র মানুষ দারাজ নির্ধারিত সময়ের ডেলিভারি দিয়েছে। সময়ের গুরুত্ব বুঝে বিষয় না। খারাপ লেগেছে লেট ডেলিভারি দেওয়ায়। দারাজ ঢাকার ভিতর দিনে ডেলিভারি উচিত। অফিস বনানী তে আমারও বাসা বনানীতে। তবুও দারাজ সময় ডেলিভারি লেট ফালতু সিস্টেম রাখছে। দেশের জেলা মানা যায়।,2
দারাজ মোবাইল কিনলাম। সন্তুষ্ট। প্যাকেজিং ভালো ইন্টেক ফোন ছিল। দাম অনুযায়ী ভালো ফোন। বাস্ট হয়। tecno ফোন একটা বাস্ট হইছে। নিলাম। দেখি হয়।,0
আলহামদুলিল্লাহ । প্রথমবারের মত দারাজ মোবাইল কিনলাম একটু ভয় করছিল তারপরেও আল্লাহর নাম ফেললাম । দামে ফ্রি ডেলিভারি পয়সা উসুল,1
চমৎকার প্রোডাক্ট। প্রাইজে বেস্ট ইন দ্যা ওয়ার্ল্ড।,1
ধন্যবাদ দারাজকে ছিলো,1
সন্তুষ্ট। গরিবদের চেয়ে আশা নেই। বছর চালাতে পারলেও হবে। চার্জ আরেকটু দ্রুত ভালো হতো।,1
Alhamdulillah ভালো একটা মোবাইল ফোন রিজনেবল প্রাইস,1
অফারে পড়েছে ভাল ডিল। প্রাইজ বেস্ট প্রোডাক্ট শোরুম লোকরা বললো দারাজের প্রোডাক্ট ওয়ারেন্টি তে প্রব্লেম বিস্তারিত জানালে খুশি হব।,1
আছে। হেডফোন নাই। এখনকার ফোনো হেডফোন জানলে জানান,1
বাজেটে বেস্ট মোবাইল সবাই,1
কালো কালার টা দিয়েছে ভেবেছি সাদা কালার টা পাবো হে ডেলিভারি ম্যান সেলার ভালো,2
ফোনটা ভালো পাইছি দাম ফোনের ভালো কোয়ালিটি,1
অল্প দামের ভেতর ভাল ফোন,1
পাইতে দেরি হইছে,0
অসাধারণধন্যবাদ দারাজ,1
দারুণ একটা ফোন।বস,1
মোটামোটি ভালই,1
অক্টোবর থেকেনভেম্বর তারিখ যাবত ফোনটি ভালোই পারফমেন্স পাচ্ছি ।তবে অত্যন্ত দুঃখের বিষয় ডিজিটের এম নম্বর লিখে এসএমএস বিআইটিসির অন্তর্ভুক্ত ফোনটি সন্ধান যায়নি। BRTC এসএমএস আসছেবিটিআরসির ডাটাবেজে হ্যান্ডসেটটি নিবন্ধিত নয়। হ্যান্ডসেটটি স্বয়ংক্রিয়ভাবে নিবন্ধন হবে।,2
Infinix Flagship Store ফোন টা ক্রয় করেছিলাম। প্রথমত ফোন আনবক্স ব্যাগ সাইডে হাতের দাগ করেছে। অফিসিয়াল কিনা চেক টাসকি খাই। মেসেজ দিছি সার্ভারে পাওয়া যায়নি লেখা আসতেছে। আনঅফিসিয়াল ফোন বিক্রি করছে। দারাজ Infinix কোম্পানির বিরুদ্ধে ভোক্তা অধিকার আইনে মামলা করব।,0
মোবাইল কিনতে দ্বারাজের বিশ্বাস উঠে,0
সস্তার অবস্থা বইলা একটা কথা আছে। এইজন্যই অনলাইন কিনাই ভালো। রিজেক্ট মোবাইল দিছেন,0
তারিখে অর্ডার একুশ তারিখে পেলাম চাইতে স্লো ডেলিভারি ইদেশ কুরিয়ার হেড অফিসে কমপ্লেন ডেলিভারি ম্যান ফোন টোন দীর্ঘ প্রতিক্ষার পেলাম। যাইহোক ধন্যবাদ অথেনটিক প্রোডাক্ট দেয়ার জন্য। কেমন সার্ভিস দেয় সেটায় দেখার বিষয়,2
ফোনটা রাইখা দিয়ে বন্ধ হ্যাং করে।,0
ফোনটা জেনুইন। জিবি র্যামেও স্লো রেস্পন্স। ভারী এপ গ্যাম এপ ব্যাবহার না। তারপরেও স্লো। ফোনটার ফিচার লুক অসাধারণ। পারেন।,2
শোরুম টাকা কমে পেয়েছি চার্জার টা ছোট ইনফিনিক্সের ফোনের তুলনায় আশা অফলাইনে দেয় দারাজ বিক্রি করলেও সেমটাই দেয় পরের এডিট redmi a সাথে কম্পেরিজন কিনেছিলাম ওটাই ভালো কেনা পছন্দ করেনি অল্প কাজেই হ্যাং মেসেঞ্জার চ্যাট হেড িউজ যায়,2
সময়মতো পন্য হাতে পেয়েছি। দ্রুত সার্ভিস। ধন্যবাদ।,1
ফোনটা বাজেটের ভালো হয়েছে আসলে দারাজ কেনাকাটা নেশার হয়েগেছে মার্কেটে ইচ্ছে যাই কেনাকাটা দারাজ কিনার করি। সেলার দারাজের শুভকামনা রইলো।।,1
ভুলে অনলাইন মোবাইল কিনবেন না।ইয়ার স্পিকারের প্রবলেম চার্জ বেশি।হয়রানির আরেক নাম অনলাইন মোবাইল কিনা।ডেলিভারি সময় ধন্যবাদ।মোবাইল অন ফেললে মোবাইল ব্যাক,1
আলহামদুলিল্লা ইনটেক প্রোডাক্ট হাতে পেয়েছি। প্যাকেজিং ভালো ছিলো। ধন্যবাদ,1
ভাল। অতিরিক্ত ফ্লাসলাইট খুবই কাজের। সাধারণত এরকম অন্যান্য মোবাইলে না। realme ফোন চালাতাম চালাচ্ছি। ক্যামেরা এক্সপেকটেশন ভালো,1
পিচ নীলাম,1
খুবই ভালো প্রোডাক্টি। প্রথমে ভয়ে ছিলাম প্রোডাক্টি পাওয়ার ব্যাহারেরর আলহামদুলিল্লাহ। খুবই খুশি। ধন্যবাদ সেলার ভাইকে সময়ের সাথে সাথে ডেলিভারি দেয়ার জন্য। ধন্যবাদ দারাজ।,1
infinix hot i ফোনটি এক কথায় অসাধারণ। মিলিয়ে টাকা লেগেছিল ফোনটি কিনতে রিভিউ দিলাম।,1
ইনটেক বক্সসহ সময়মত ডেলিভারি পেয়েছি। সেলার দারাজ ডেলিভারিম্যান সকলকে আন্তরিক ধন্যবাদ।,1
প্যাকেজিং ভালো। জেনুইন প্রোডাক্ট। ধন্যবাদ সেলারকে। শুভ কামনা রইল।,1
আলহামদুলিল্লাহ ভাল। দোকানের প্রাইস কমে পেয়েছি।,1
মোবাইলটা ভালো মজা আছে।,1
ভালো,1
দারাজ মোবাইলটি ক্রয় মোবাইলটির সমস্যার কারণে রিফান্ড রিকোয়েস্ট পাঠায় শে সেপ্টেম্বর এরপর অক্টোবরে অফিস ফোন মোবাইলটি সমস্যা কাস্টম কেয়ারে সার্ভিসিং যাবেন মোবাইলটি রিটার্ন পাঠানো শে অক্টোবরে অফিস মোবাইলটি পেতে ছয় সাত সময় লাগবে এখনো মোবাইলটি হাতে পাই আজকে অক্টোবর আপনারা কাস্টমারকে ছিনিমিনি খেলেন,0
প্রোডাক্ট একেবারে বাজে কিনবেন ভুয়া রিভিউ কিনছে চার্জে দিলে মোবাইল আগুনের গরম প্রসেসর একেবারে বাজে ফেসবুক ভিডিও দেখলে মোবাইল কাপে হয়। রিটার্ন লিখেছে প্রোডাক্ট রিটার্ন নিচ্ছে যতেষ্ট কারন সবাই প্রোডাক্ট কেনা বিরত থাকবেন।,0
মোবাইলটি সুবিধা,0
কনফিগারেশন ভেবেছিলাম এটার টাইপ চার্জার কিনে দেখি আগের নরমাল চার্জার। চার্জ সময় লাগে। ফ্রন্ট ক্যামেরা আরেকটু ভালো ভালো হতো। রাফ ইউজের আছে।,2
সপ্তাহ করলাম বালির সার্ভিস দিতাছে যাক,0
মোবাইল টা বুঝে পেয়েছি ওর্ডার দিয়েছিলা নিল রঙের বাট দিয়েছেন সাদা কালার। সেট স্লোআর ডেলিভারি ম্যান ব্যবহারটা ভালো না।,0
touch কিছুটা slow ।,0
চেয়েছি পেয়েছি। প্যাকেট খোলার সময় ভিডিও করেছি। আশা ভবিষ্যতেও সেবা অব্যাহত রাখবেন।,1
ফোনের টাচ রেসপন্স তুলনামূলক কম। তাছাড়া বাকিসব দাম হিসেবে রয়েছে,2
মোটামুটি এতোটা খারাপ না।।,1
মাশাল্লাহ। এবারই দারাজে মোবাইল কেনা। সুন্দর প্যাকেজিং। ডেলিভারি ম্যান সকালে দিলো। টাকায় কিনেছি। সেলার স্ক্রিণ প্রোটেকশন গ্লাস দেয়নি ইয়ারফোন দেয়নি কেমন দেখার বিষয়। জিনিস কিনেছি আজকে দারাজ থেকে।,1
