Bengali tech product reviews,tech product
আমার জীবনের সবচেয়ে বাজে অভিজ্ঞতা। দারাজ থেকে আমি কখনো এমন সার্ভিস আশা করিনি।সময়ের চাইতে প্রায় ১২ দিন সময় বেশি নিয়েছে তারা। সার্ভিস সেন্টারে কল দিও কোন ভালো ফলাফল পাইনি। সবচেয়ে বাজে অভিজ্ঞতা সেলার এর সাথে ৩০ বারের অধিক মেসেজ দিয়েও একটা রিপ্লাই ও পেলাম না।,Smartphone
official mobile এর দাম নিয়েছেন। কিন্তু unofficial phone দিলেন। কাজটা কি ঠিক হলো? Return করতে চাই।,Smartphone
"সেলার খুব ভালো, কিন্তু ফোনটা খুবই বাজে মানের। নেটে কথা বলা খুবই সমস্যা। ওয়াইফাইতে/বা ডাটায় অন্য ফোনে ভিডিও কলে সব ঠিক থাকলেও এটা ভিডিও ও কথা ব্রেক হয়। আর চার্জ হইতে প্রায় ৩ঘন্টা লাগে।",Smartphone
ফোনের কোয়ালিটি তুলনায় দাম অনেক বেশি,Smartphone
সেলার+ডেলিভারি সময় খুবই খারাপ.,Smartphone
দাম অনুযায়ী ঠিক আসে .... daraz ডেলিভারী টাইম বেশি নিয়েছে ... ডেলিভারী ম্যান টা ভালো ছিল ... হেল্পফুল অনেক ছিলেন । সময় মতন ডেলিভারী করার জন্যে দারাজ এর আরো বেশি কনসার্ন থাকা উচিত । মার্কেট এর তুলনায় 500_700 টাকা কমে পেয়েছি প্রোডাক্ট টা । থ্যাংক ইউ,Smartphone
ভালোই। অনেক স্মুথ। এখন দেখা যাক কতদিন চলে।,Smartphone
ভালোই,Smartphone
"সব কিছু সুন্দর। ফোন ঠিকঠাক ছিলো। কিন্তু দারাজ হলো একটা ভোগান্তির নাম। যদিও ডেলিভারি ম্যান অনেক ভদ্র মানুষ, কিন্তু দারাজ নির্ধারিত সময়ের ১ দিন পরে ডেলিভারি দিয়েছে। যারা সময়ের গুরুত্ব বুঝে না তাদের কাছে ১ দিন বিষয় না। কিন্তু আমার কাছে খুব খারাপ লেগেছে লেট করে ডেলিভারি দেওয়ায়। দারাজ ঢাকার ভিতর ২ দিনে ডেলিভারি দেওয়া উচিত। তাদের অফিস বনানী তে, আমারও বাসা বনানীতে। তবুও দারাজ ৫ দিন সময় নিয়ে ডেলিভারি দিতে আরও ০১দিন লেট করে!! কত ফালতু সিস্টেম তারা করে রাখছে। দেশের অন্য জেলা হলে মানা যায়।",Smartphone
প্রথম বার দারাজ থেকে মোবাইল কিনলাম। আমি সন্তুষ্ট। প্যাকেজিং ভালো ছিল ও ইন্টেক ফোন ছিল। দাম অনুযায়ী যথেষ্ট ভালো ফোন। বাস্ট না হলেই হয়। tecno ফোন একটা বাস্ট হইছে। তারপর এটা নিলাম। দেখি কি হয়।,Smartphone
আলহামদুলিল্লাহ । যদিও প্রথমবারের মত দারাজ থেকে মোবাইল কিনলাম মনে একটু ভয় কাজ করছিল তারপরেও আল্লাহর নাম নিয়ে নিয়ে ফেললাম । এই দামে ফ্রি ডেলিভারি পেয়ে পয়সা উসুল,Smartphone
চমৎকার একটি প্রোডাক্ট। এই প্রাইজে বেস্ট ইন দ্যা ওয়ার্ল্ড।,Smartphone
ধন্যবাদ দারাজকে সব ঠিক ছিলো😌😌,Smartphone
সন্তুষ্ট। গরিবদের এর চেয়ে বেশি আশা করতে নেই। ৩ বছর চালাতে পারলেও হবে। চার্জ আরেকটু দ্রুত হলে ভালো হতো।,Smartphone
Alhamdulillah খুব ভালো একটা মোবাইল ফোন রিজনেবল প্রাইস ❤️,Smartphone
"অফারে ১০৪০০ পড়েছে যা খুব ভাল ডিল। এই প্রাইজ এ বেস্ট প্রোডাক্ট, কিন্তু শোরুম এর লোকরা বললো দারাজের প্রোডাক্ট এ নাকি ওয়ারেন্টি তে প্রব্লেম করে, বিস্তারিত জানালে খুশি হব।",Smartphone
সব কিছু ঠিক আছে। তবে হেডফোন নাই। এখনকার ফোনো কি হেডফোন দেওয়া হয় না??? কেউ জানলে জানান...,Smartphone
"এই বাজেটে বেস্ট মোবাইল, সবাই নিতে পারেন",Smartphone
"আমাকে কালো কালার টা দিয়েছে ভেবেছি সাদা কালার টা পাবো, তবে হে ডেলিভারি ম্যান +সেলার অনেক ভালো",Smartphone
ফোনটা ভালো পাইছি এবং দাম অনুযায়ী ফোনের অনেক ভালো কোয়ালিটি,Smartphone
অল্প দামের ভেতর ভাল ফোন,Smartphone
পাইতে দেরি হইছে?,Smartphone
"অসাধারণ,ধন্যবাদ দারাজ কে",Smartphone
দারুণ একটা ফোন।বস...,Smartphone
মোটামোটি ভালই,Smartphone
"১৮, অক্টোবর ২০২৩ থেকে_১নভেম্বর ২০২৩ তারিখ পর্যন্ত ২০ দিন যাবত ফোনটি ব্যবহার করে ভালোই পারফমেন্স পাচ্ছি ।তবে অত্যন্ত দুঃখের বিষয় ১৫ ডিজিটের আই এম ই আই নম্বর লিখে এসএমএস করলে, বিআইটিসির অন্তর্ভুক্ত ফোনটি এমন কোন সন্ধান পাওয়া যায়নি। আবার BRTC থেকে এমন এসএমএস আসছে--বিটিআরসি'র ডাটাবেজে হ্যান্ডসেটটি নিবন্ধিত নয়। হ্যান্ডসেটটি স্বয়ংক্রিয়ভাবে নিবন্ধন করা হবে।",Smartphone
Infinix Flagship Store দেখে ফোন টা ক্রয় করেছিলাম। কিন্তু প্রথমত ফোন আনবক্স করার পর ব্যাগ সাইডে হাতের দাগ এমন মনে হলো যে আগে কেউ ব্যবহার করেছে। এর পর অফিসিয়াল কিনা চেক করতে গিয়ে টাসকি খাই। ২ বার মেসেজ দিছি ২ বার এই সার্ভারে পাওয়া যায়নি এমন লেখা আসতেছে। আনঅফিসিয়াল ফোন বিক্রি করছে। আমি দারাজ ও Infinix কোম্পানির বিরুদ্ধে ভোক্তা অধিকার আইনে মামলা করব।,Smartphone
"মোবাইল কিনতে যে, দ্বারাজের উপর বিশ্বাস উঠে গেছে😢😥.",Smartphone
সস্তার ১৩ অবস্থা বইলা একটা কথা আছে। এইজন্যই অনলাইন এ কিছু না কিনাই ভালো। রিজেক্ট মোবাইল দিছেন,Smartphone
১২ তারিখে অর্ডার দিয়ে একুশ তারিখে পেলাম!! এর চাইতে স্লো ডেলিভারি আর কত হতে পারে?! তাও আবার ই-দেশ কুরিয়ার এর হেড অফিসে কমপ্লেন করে ডেলিভারি ম্যান কে ফোন টোন করে দীর্ঘ প্রতিক্ষার পরে পেলাম। যাইহোক ধন্যবাদ অথেনটিক প্রোডাক্ট দেয়ার জন্য। এখন কেমন সার্ভিস দেয় সেটায় দেখার বিষয়!,Smartphone
"ফোনটা রাইখা দিয়ে বন্ধ হয়ে যায়, আর হ্যাং করে।",Smartphone
ফোনটা জেনুইন। কিন্তু ৪ জিবি র‍্যামেও বেশ স্লো রেস্পন্স। আমি কোন ভারী এপ বা গ্যাম এপ ব্যাবহার করি না। তারপরেও বেশ স্লো। তবে ফোনটার সব ফিচার এবং লুক অসাধারণ। নিতে পারেন।,Smartphone
